#技能信息表																																								
#ID	人物ID（填写0默认对所有角色有效）	动作ID	技能名称	技能ICON	动作CD，毫秒	命中敌人后的动作CD（在动作CD基础上额外增加时间）	攻击命中后顿帧时间（敌我双方都会顿帧）	僵直时间	是否触发霸体	霸体持续时间	霸体值强度	技能伤害系数	伤害初始附加值	成长类型（1伤害成长 2buff持续时间增长）	成长参数	攻击次数（除去副伤值）	技能等级上限	Y轴伤害范围	释放技能是否屏幕跟着移动（0不锁定、1锁定）	击倒时间	是否带人（0表示不带、1表示带）	与被带人的X轴距离（不带人时不填）	与被带人的Z轴距离（不带人时不填）	碰撞速度比例(对方的速度=自己的速度/比例)	攻击造成的魔法消耗恢复	攻击命中回复魔法	攻击造成敌方魔法量消耗	帧播放速度	攻击类型(1为物攻，2位魔攻，无类型放空)	动作音效	动作配音	受击音效	携带仇恨值	是否必定命中（0表示不做特殊处理，1表示必定命中）	地面特效是否隐藏（0表示不隐藏、1表示隐藏）	技能条件类型（1在X%血量内可施放）	技能条件数值	BuffID(多个Buff使用#号分隔)	技能描述	技能第二行描述
int	int	string	string	string	float	float	float	float	int	int	int	float	float	int	float	int	int	int	int	float	float	float	float	float	float	float	float	float	float	string	string	string	int	int	int	int	float	string	string	string
66	9	skill3-1			8000	0	0.1	0.1	1	4	120	10	1	1	30	1	90	100	0	2	1			0		10	0	1	2				100	1	0					
68	9	jumpatk			0	0	0.1	0.5	1	0		1					90		0	2	0			0	0		0	1	1				10	0	0					
70	10	atk1			0	0	0.1	0.1	1	0		1					90		0	2	0			0	0	2	0	1	1				50	0	0					
71	10	atk2			0	0	0.1	0.1	1	0		1.5					90		0	2	0			0	0	2	0	1	1				50	0	0					
72	10	atk3			0	0	0.1	0.1	1	0		2					90		0	2	0			0	0	2	0	1	1				50	0	0					
73	10	skill1	披雪战车	mianhuatangjineng1	8000	0	0.1	0.2	1	2	150	1.5	1		25	4	90		1	2	0			0	-25		0	1	2			a_quanhurt	100	0	0				如同滚雪球一般来回揉虐敌人	
74	10	skill2	护驾冰砖	mianhuatangjineng2	12000	0	0.1	0.1	1	6	180	1	1		0	1	90		0	2	0			0	-10		0	1	2				200	0	0			2#3	搬出自己的冰屋作为护甲，任敌人狂暴，我岿然不动	
75	10	skill3	怒风凌雪	mianhuatangjineng3	15000	0	0.1	0.1	1	3	150	2	1		30	8	90		0	2	0			0	-60		0	1	2				100	0	0			11	召唤暴风雪为我所用	
78	10	jumpatk			0	0	0.1	0.5	1	0		1					90		0	2	0			0	0		0	1	1				10	0	0					
80	11	atk1			0	0	0.1	0.1	1	0		1					90		0	2	0			0	0	2	0	1	1				10	0	0					
81	11	atk2			0	0	0.1	0.1	1	0		1.5					90		0	2	0			0	0	2	0	1	1				10	0	0					
82	11	atk3			0	0	0.1	0.1	1	0		2					90		0	2	0			0	0	2	0	1	1				10	0	0					
83	11	skill1	技能1		1000	0	0.1	0.1	1	0		1	50		5		90		0	2	0			0	0		0	1	1				10	0	0					
84	11	skill2	技能2		1000	0	0.1	0.1	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
85	11	skill3	技能3		1000	0	0.1	0.1	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
88	11	jumpatk			0	0	0.1	0.5	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
90	12	atk1			0	0	0.1	0.1	1	0		1					90		0	2	0			0	0	2	0	1	1				10	0	0					
91	12	atk2			0	0	0.1	0.1	1	0		1.5					90		0	2	0			0	0	2	0	1	1				10	0	0					
92	12	atk3			0	0	0.1	0.1	1	0		2					90		0	2	0			0	0	2	0	1	1				10	0	0					
93	12	skill1	技能1		1000	0	0.1	0.1	1	0		1	50		5		90		0	2	0			0	0		0	1	1				10	0	0					
94	12	skill2	技能2		1000	0	0.1	0.1	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
95	12	skill3	技能3		1000	0	0.1	0.1	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
98	12	jumpatk			0	0	0.1	0.5	1	0		1	50		6		90		0	2	0			0	0		0	1	1				10	0	0					
