#宝箱表						
#id	宝箱ID	包含类型（1、装备；2、道具）	物品ID	获得权重	获得数量	备注
int	int	int	int	float	int	string
290	7	1	10011	10	1	绿色装备
291	7	1	10012	10	1	绿色装备
292	7	1	10013	10	1	蓝色装备
293	7	1	10014	10	1	蓝色装备
294	7	1	10015	10	1	蓝色装备
295	7	1	10016	10	1	蓝色装备
296	7	1	10017	10	1	蓝色装备
297	7	1	10018	10	1	蓝色装备
298	7	1	10019	10	1	紫色装备
299	7	1	10020	10	1	紫色装备
300	7	1	10021	10	1	紫色装备
301	7	1	10022	10	1	紫色装备
302	7	1	10023	10	1	紫色装备
303	7	1	10024	10	1	紫色装备
304	7	1	10025	10	1	橙色装备
305	7	1	10026	10	1	橙色装备
306	7	1	10027	10	1	橙色装备
307	7	1	10028	10	1	橙色装备
308	7	1	10029	10	1	橙色装备
309	7	1	10030	10	1	橙色装备
310	7	1	11037	10	1	黑龙套装碎片
311	7	1	11038	10	1	黑龙套装碎片
312	7	1	11039	10	1	黑龙套装碎片
313	7	1	11040	10	1	黑龙套装碎片
314	7	1	11041	10	1	黑龙套装碎片
315	7	1	11042	10	1	黑龙套装碎片
316	7	2	1003	20	1	山石姬碎片
317	7	2	3	1	1	山石姬
318	7	2	2003	20	1	高级经验丹
319	7	2	3000	20	1	强化石
320	7	2	1004	20	1	绿崽碎片
321	7	2	4	1	1	绿崽
322	7	2	1005	20	1	艾利查卡多碎片
323	7	2	5	1	1	艾利查卡多
324	7	2	1006	20	1	技术草碎片
325	7	2	6	1	1	技术草
326	7	2	4001	0	1	白羊辉耀
327	7	2	4002	0	1	白羊凝聚
328	7	2	4003	0	1	白羊光芒
329	7	2	4004	0	1	白羊不死
330	7	2	4005	0	1	白羊旋舞
331	7	2	4006	0	1	白羊之心
332	7	2	4007	0	1	白羊之魂
333	7	2	4208	0	1	金牛辉耀碎片
334	7	2	4209	0	1	金牛凝聚碎片
335	7	2	4210	0	1	金牛光芒碎片
336	7	2	4211	0	1	金牛不死碎片
337	7	2	4212	0	1	金牛旋舞碎片
338	7	2	4213	0	1	金牛之心碎片
339	7	2	4214	0	1	金牛之魂碎片
340	7	2	4215	0	1	双子辉耀碎片
341	7	2	4216	0	1	双子凝聚碎片
342	7	2	4217	0	1	双子光芒碎片
343	7	2	4218	0	1	双子不死碎片
344	7	2	4219	0	1	双子旋舞碎片
345	7	2	4220	0	1	双子之心碎片
346	7	2	4221	0	1	双子之魂碎片
347	7	2	4222	0	1	巨蟹辉耀碎片
348	7	2	4223	0	1	巨蟹凝聚碎片
349	7	2	4224	0	1	巨蟹光芒碎片
350	7	2	4225	0	1	巨蟹不死碎片
351	7	2	4226	0	1	巨蟹旋舞碎片
352	7	2	4227	0	1	巨蟹之心碎片
353	7	2	4228	0	1	巨蟹之魂碎片
354	7	2	4229	0	1	狮子辉耀碎片
355	7	2	4230	0	1	狮子凝聚碎片
356	7	2	4231	0	1	狮子光芒碎片
357	7	2	4232	0	1	狮子不死碎片
358	7	2	4233	0	1	狮子旋舞碎片
359	7	2	4234	0	1	狮子之心碎片
360	7	2	4235	0	1	狮子之魂碎片
361	7	2	4236	0	1	处女辉耀碎片
362	7	2	4237	0	1	处女凝聚碎片
363	7	2	4238	0	1	处女光芒碎片
364	7	2	4239	0	1	处女不死碎片
365	7	2	4240	0	1	处女旋舞碎片
366	7	2	4241	0	1	处女之心碎片
367	7	2	4242	0	1	处女之魂碎片
368	7	2	4243	0	1	天秤辉耀碎片
369	7	2	4244	0	1	天秤凝聚碎片
370	7	2	4245	0	1	天秤光芒碎片
371	7	2	4246	0	1	天秤不死碎片
372	7	2	4247	0	1	天秤旋舞碎片
373	7	2	4248	0	1	天秤之心碎片
374	7	2	4249	0	1	天秤之魂碎片
375	7	2	4250	0	1	天蝎辉耀碎片
376	7	2	4251	0	1	天蝎凝聚碎片
377	7	2	4252	0	1	天蝎光芒碎片
378	7	2	4253	0	1	天蝎不死碎片
379	7	2	4254	0	1	天蝎旋舞碎片
380	7	2	4255	0	1	天蝎之心碎片
381	7	2	4256	0	1	天蝎之魂碎片
382	7	2	4257	0	1	射手辉耀碎片
383	7	2	4258	0	1	射手凝聚碎片
384	7	2	4259	0	1	射手光芒碎片
385	7	2	4260	0	1	射手不死碎片
386	7	2	4261	0	1	射手旋舞碎片
387	7	2	4262	0	1	射手之心碎片
388	7	2	4263	0	1	射手之魂碎片
389	8	1	10001	10	1	白色装备
390	8	1	10002	10	1	白色装备
391	8	1	10003	10	1	白色装备
392	8	1	10004	10	1	白色装备
393	8	1	10005	10	1	白色装备
394	8	1	10006	10	1	白色装备
395	8	1	10007	10	1	绿色装备
396	8	1	10008	10	1	绿色装备
397	8	1	10009	10	1	绿色装备
398	8	1	10010	10	1	绿色装备
399	8	1	10011	10	1	绿色装备
400	8	1	10012	10	1	绿色装备
401	8	1	10013	10	1	蓝色装备
402	8	1	10014	10	1	蓝色装备
403	8	1	10015	10	1	蓝色装备
404	8	1	10016	10	1	蓝色装备
405	8	1	10017	10	1	蓝色装备
406	8	1	10018	10	1	蓝色装备
407	8	1	10019	10	1	紫色装备
408	8	1	10020	10	1	紫色装备
409	8	1	10021	10	1	紫色装备
410	8	1	10022	10	1	紫色装备
411	8	1	10023	10	1	紫色装备
412	8	1	10024	10	1	紫色装备
413	8	1	10025	10	1	橙色装备
414	8	1	10026	10	1	橙色装备
415	8	1	10027	10	1	橙色装备
416	8	1	10028	10	1	橙色装备
417	8	1	10029	10	1	橙色装备
418	8	1	10030	10	1	橙色装备
419	8	1	11043	10	1	冰雪套装碎片
420	8	1	11044	10	1	冰雪套装碎片
421	8	1	11045	10	1	冰雪套装碎片
422	8	1	11046	10	1	冰雪套装碎片
423	8	1	11047	10	1	冰雪套装碎片
424	8	1	11048	10	1	冰雪套装碎片
425	8	2	1003	20	1	山石姬碎片
426	8	2	3	1	1	山石姬
427	8	2	2003	20	1	高级经验丹
428	8	2	3000	20	1	强化石
429	8	2	1004	20	1	绿崽碎片
430	8	2	4	1	1	绿崽
431	8	2	1005	20	1	艾利查卡多碎片
432	8	2	5	1	1	艾利查卡多
433	8	2	1006	20	1	技术草碎片
434	8	2	6	1	1	技术草
435	8	2	4001	0	1	白羊辉耀
436	8	2	4002	0	1	白羊凝聚
437	8	2	4003	0	1	白羊光芒
438	8	2	4004	0	1	白羊不死
439	8	2	4005	0	1	白羊旋舞
440	8	2	4006	0	1	白羊之心
441	8	2	4007	0	1	白羊之魂
442	8	2	4208	0	1	金牛辉耀碎片
443	8	2	4209	0	1	金牛凝聚碎片
444	8	2	4210	0	1	金牛光芒碎片
445	8	2	4211	0	1	金牛不死碎片
446	8	2	4212	0	1	金牛旋舞碎片
447	8	2	4213	0	1	金牛之心碎片
448	8	2	4214	0	1	金牛之魂碎片
449	8	2	4215	0	1	双子辉耀碎片
450	8	2	4216	0	1	双子凝聚碎片
451	8	2	4217	0	1	双子光芒碎片
452	8	2	4218	0	1	双子不死碎片
453	8	2	4219	0	1	双子旋舞碎片
454	8	2	4220	0	1	双子之心碎片
455	8	2	4221	0	1	双子之魂碎片
456	8	2	4222	0	1	巨蟹辉耀碎片
457	8	2	4223	0	1	巨蟹凝聚碎片
458	8	2	4224	0	1	巨蟹光芒碎片
459	8	2	4225	0	1	巨蟹不死碎片
460	8	2	4226	0	1	巨蟹旋舞碎片
461	8	2	4227	0	1	巨蟹之心碎片
462	8	2	4228	0	1	巨蟹之魂碎片
463	8	2	4229	0	1	狮子辉耀碎片
464	8	2	4230	0	1	狮子凝聚碎片
465	8	2	4231	0	1	狮子光芒碎片
466	8	2	4232	0	1	狮子不死碎片
467	8	2	4233	0	1	狮子旋舞碎片
468	8	2	4234	0	1	狮子之心碎片
469	8	2	4235	0	1	狮子之魂碎片
470	8	2	4236	0	1	处女辉耀碎片
471	8	2	4237	0	1	处女凝聚碎片
472	8	2	4238	0	1	处女光芒碎片
473	8	2	4239	0	1	处女不死碎片
474	8	2	4240	0	1	处女旋舞碎片
475	8	2	4241	0	1	处女之心碎片
476	8	2	4242	0	1	处女之魂碎片
477	8	2	4243	0	1	天秤辉耀碎片
478	8	2	4244	0	1	天秤凝聚碎片
479	8	2	4245	0	1	天秤光芒碎片
480	8	2	4246	0	1	天秤不死碎片
481	8	2	4247	0	1	天秤旋舞碎片
482	8	2	4248	0	1	天秤之心碎片
483	8	2	4249	0	1	天秤之魂碎片
484	8	2	4250	0	1	天蝎辉耀碎片
485	8	2	4251	0	1	天蝎凝聚碎片
486	8	2	4252	0	1	天蝎光芒碎片
487	8	2	4253	0	1	天蝎不死碎片
488	8	2	4254	0	1	天蝎旋舞碎片
489	8	2	4255	0	1	天蝎之心碎片
490	8	2	4256	0	1	天蝎之魂碎片
491	8	2	4257	0	1	射手辉耀碎片
492	8	2	4258	0	1	射手凝聚碎片
493	8	2	4259	0	1	射手光芒碎片
494	8	2	4260	0	1	射手不死碎片
495	8	2	4261	0	1	射手旋舞碎片
496	8	2	4262	0	1	射手之心碎片
497	8	2	4263	0	1	射手之魂碎片
498	8	2	4264	0	1	魔蝎辉耀碎片
499	8	2	4265	0	1	魔蝎凝聚碎片
500	8	2	4266	0	1	魔蝎光芒碎片
501	8	2	4267	0	1	魔蝎不死碎片
502	8	2	4268	0	1	魔蝎旋舞碎片
503	8	2	4269	0	1	魔蝎之心碎片
504	8	2	4270	0	1	魔蝎之魂碎片
505	8	2	4271	0	1	宝瓶辉耀碎片
506	8	2	4272	0	1	宝瓶凝聚碎片
507	8	2	4273	0	1	宝瓶光芒碎片
508	8	2	4274	0	1	宝瓶不死碎片
509	8	2	4275	0	1	宝瓶旋舞碎片
510	8	2	4276	0	1	宝瓶之心碎片
511	8	2	4277	0	1	宝瓶之魂碎片
512	8	2	4278	0	1	双鱼辉耀碎片
513	8	2	4279	0	1	双鱼凝聚碎片
514	8	2	4280	0	1	双鱼光芒碎片
515	8	2	4281	0	1	双鱼不死碎片
516	8	2	4282	0	1	双鱼旋舞碎片
517	8	2	4283	0	1	双鱼之心碎片
518	8	2	4284	0	1	双鱼之魂碎片
519	9	1	10025	50	1	橙色装备
520	9	1	10026	50	1	橙色装备
521	9	1	10027	50	1	橙色装备
522	9	1	10028	50	1	橙色装备
523	9	1	10029	50	1	橙色装备
524	9	1	10030	50	1	橙色装备
525	9	2	3102	50	1	真火焰装备宝箱
526	9	2	2104	0	1	50000金币
527	9	2	2105	0	1	100000金币
528	9	2	2106	50	1	500000金币
529	9	2	2003	0	1	高级经验丹
530	9	2	2004	50	1	顶级经验丹
531	9	2	10	1	1	雪人整卡
532	9	2	1010	50	1	雪人碎片
533	10	1	10031	50	1	火焰套装
534	10	1	10032	50	1	火焰套装
535	10	1	10033	50	1	火焰套装
536	10	1	10034	50	1	火焰套装
537	10	1	10035	50	1	火焰套装
538	10	1	10036	50	1	火焰套装
539	10	2	2105	50	1	100000金币
540	10	2	2106	50	1	500000金币
541	10	2	2004	50	1	顶级经验丹
542	10	2	3103	50	1	真黑龙装备宝箱
543	11	1	10037	15	1	黑龙套装
544	11	1	10038	15	1	黑龙套装
545	11	1	10039	15	1	黑龙套装
546	11	1	10040	15	1	黑龙套装
547	11	1	10041	15	1	黑龙套装
548	11	1	10042	15	1	黑龙套装
549	11	2	3104	15	1	真冰雪装备宝箱
550	12	1	10043	1	1	冰雪套装
551	12	1	10044	1	1	冰雪套装
552	12	1	10045	1	1	冰雪套装
553	12	1	10046	1	1	冰雪套装
554	12	1	10047	1	1	冰雪套装
555	12	1	10048	1	1	冰雪套装
