#商店表											
#id	物品ID	物品名称	物品图标	数量	交易货币类型(0金币;1钻石)	交易限制类型(0不限制;1个人数量限制;2集体数量限制)	购买限制（0不限制、1VIP、2爵位）	VIP限制等级（0不限制、1VIP1、2VIP2、3VIP3、4VIP4、5VIP5、6VIP6、7VIP7、8VIP8、9VIP9、10VIP10）	爵位限制等级（0不限制、1男爵、2子爵、3伯爵、4侯爵、5公爵	价格	刷新权重
int	int	string	string	int	int	int	int	int	int	string	float
72	4033	狮子旋舞	tempItem	1	1	0	0	0	0	200	0
73	4034	狮子之心	tempItem	1	1	0	0	0	0	200	0
74	4035	狮子之魂	tempItem	1	1	0	0	0	0	200	0
75	4036	处女辉耀	tempItem	1	1	0	0	0	0	300	0
76	4037	处女凝聚	tempItem	1	1	0	0	0	0	300	0
77	4038	处女光芒	tempItem	1	1	0	0	0	0	300	0
78	4039	处女不死	tempItem	1	1	0	0	0	0	300	0
79	4040	处女旋舞	tempItem	1	1	0	0	0	0	300	0
80	4041	处女之心	tempItem	1	1	0	0	0	0	300	0
81	4042	处女之魂	tempItem	1	1	0	0	0	0	300	0
82	4043	天秤辉耀	tempItem	1	1	0	0	0	0	400	0
83	4044	天秤凝聚	tempItem	1	1	0	0	0	0	400	0
84	4045	天秤光芒	tempItem	1	1	0	0	0	0	400	0
85	4046	天秤不死	tempItem	1	1	0	0	0	0	400	0
86	4047	天秤旋舞	tempItem	1	1	0	0	0	0	400	0
87	4048	天秤之心	tempItem	1	1	0	0	0	0	400	0
88	4049	天秤之魂	tempItem	1	1	0	0	0	0	400	0
89	4050	天蝎辉耀	tempItem	1	1	0	0	0	0	800	0
90	4051	天蝎凝聚	tempItem	1	1	0	0	0	0	800	0
91	4052	天蝎光芒	tempItem	1	1	0	0	0	0	800	0
92	4053	天蝎不死	tempItem	1	1	0	0	0	0	800	0
93	4054	天蝎旋舞	tempItem	1	1	0	0	0	0	800	0
94	4055	天蝎之心	tempItem	1	1	0	0	0	0	800	0
95	4056	天蝎之魂	tempItem	1	1	0	0	0	0	800	0
96	4057	射手辉耀	tempItem	1	1	0	0	0	0	1200	0
97	4058	射手凝聚	tempItem	1	1	0	0	0	0	1200	0
98	4059	射手光芒	tempItem	1	1	0	0	0	0	1200	0
99	4060	射手不死	tempItem	1	1	0	0	0	0	1200	0
100	4061	射手旋舞	tempItem	1	1	0	0	0	0	1200	0
101	4062	射手之心	tempItem	1	1	0	0	0	0	1200	0
102	4063	射手之魂	tempItem	1	1	0	0	0	0	1200	0
103	4064	魔蝎辉耀	tempItem	1	1	0	0	0	0	1600	0
104	4065	魔蝎凝聚	tempItem	1	1	0	0	0	0	1600	0
105	4066	魔蝎光芒	tempItem	1	1	0	0	0	0	1600	0
106	4067	魔蝎不死	tempItem	1	1	0	0	0	0	1600	0
107	4068	魔蝎旋舞	tempItem	1	1	0	0	0	0	1600	0
108	4069	魔蝎之心	tempItem	1	1	0	0	0	0	1600	0
109	4070	魔蝎之魂	tempItem	1	1	0	0	0	0	1600	0
110	4071	宝瓶辉耀	tempItem	1	1	0	0	0	0	2000	0
111	4072	宝瓶凝聚	tempItem	1	1	0	0	0	0	2000	0
112	4073	宝瓶光芒	tempItem	1	1	0	0	0	0	2000	0
113	4074	宝瓶不死	tempItem	1	1	0	0	0	0	2000	0
114	4075	宝瓶旋舞	tempItem	1	1	0	0	0	0	2000	0
115	4076	宝瓶之心	tempItem	1	1	0	0	0	0	2000	0
116	4077	宝瓶之魂	tempItem	1	1	0	0	0	0	2000	0
117	4078	双鱼辉耀	tempItem	1	1	0	0	0	0	2400	0
118	4079	双鱼凝聚	tempItem	1	1	0	0	0	0	2400	0
119	4080	双鱼光芒	tempItem	1	1	0	0	0	0	2400	0
120	4081	双鱼不死	tempItem	1	1	0	0	0	0	2400	0
121	4082	双鱼旋舞	tempItem	1	1	0	0	0	0	2400	0
122	4083	双鱼之心	tempItem	1	1	0	0	0	0	2400	0
123	4084	双鱼之魂	tempItem	1	1	0	0	0	0	2400	0
124	4222	巨蟹辉耀碎片	tempItem	5	0	0	0	0	0	5000	0
125	4223	巨蟹凝聚碎片	tempItem	5	0	0	0	0	0	5000	0
126	4224	巨蟹光芒碎片	tempItem	5	0	0	0	0	0	5000	0
127	4225	巨蟹不死碎片	tempItem	5	0	0	0	0	0	5000	0
128	4226	巨蟹旋舞碎片	tempItem	5	0	0	0	0	0	5000	0
129	4227	巨蟹之心碎片	tempItem	5	0	0	0	0	0	5000	0
130	4228	巨蟹之魂碎片	tempItem	5	0	0	0	0	0	5000	0
131	4229	狮子辉耀碎片	tempItem	5	0	0	0	0	0	5000	0
132	4230	狮子凝聚碎片	tempItem	5	0	0	0	0	0	5000	0
133	4231	狮子光芒碎片	tempItem	5	0	0	0	0	0	5000	0
134	4232	狮子不死碎片	tempItem	5	0	0	0	0	0	5000	0
135	4233	狮子旋舞碎片	tempItem	5	0	0	0	0	0	5000	0
136	4234	狮子之心碎片	tempItem	5	0	0	0	0	0	5000	0
137	4235	狮子之魂碎片	tempItem	5	0	0	0	0	0	5000	0
138	4236	处女辉耀碎片	tempItem	5	0	0	0	0	0	5000	0
139	4237	处女凝聚碎片	tempItem	5	0	0	0	0	0	5000	0
140	4238	处女光芒碎片	tempItem	5	0	0	0	0	0	5000	0
141	4239	处女不死碎片	tempItem	5	0	0	0	0	0	5000	0
142	4240	处女旋舞碎片	tempItem	5	0	0	0	0	0	5000	0
143	4241	处女之心碎片	tempItem	5	0	0	0	0	0	5000	0
144	4242	处女之魂碎片	tempItem	5	0	0	0	0	0	5000	0
145	4243	天秤辉耀碎片	tempItem	5	0	0	0	0	0	5000	0
146	4244	天秤凝聚碎片	tempItem	5	0	0	0	0	0	5000	0
147	4245	天秤光芒碎片	tempItem	5	0	0	0	0	0	5000	0
148	4246	天秤不死碎片	tempItem	5	0	0	0	0	0	5000	0
149	4247	天秤旋舞碎片	tempItem	5	0	0	0	0	0	5000	0
150	4248	天秤之心碎片	tempItem	5	0	0	0	0	0	5000	0
151	4249	天秤之魂碎片	tempItem	5	0	0	0	0	0	5000	0
152	4250	天蝎辉耀碎片	tempItem	3	0	0	0	0	0	5000	0
153	4251	天蝎凝聚碎片	tempItem	3	0	0	0	0	0	5000	0
154	4252	天蝎光芒碎片	tempItem	3	0	0	0	0	0	5000	0
155	4253	天蝎不死碎片	tempItem	3	0	0	0	0	0	5000	0
156	4254	天蝎旋舞碎片	tempItem	3	0	0	0	0	0	5000	0
157	4255	天蝎之心碎片	tempItem	3	0	0	0	0	0	5000	0
158	4256	天蝎之魂碎片	tempItem	3	0	0	0	0	0	5000	0
159	4257	射手辉耀碎片	tempItem	3	0	0	0	0	0	10000	0
160	4258	射手凝聚碎片	tempItem	3	0	0	0	0	0	10000	0
161	4259	射手光芒碎片	tempItem	3	0	0	0	0	0	10000	0
162	4260	射手不死碎片	tempItem	3	0	0	0	0	0	10000	0
163	4261	射手旋舞碎片	tempItem	3	0	0	0	0	0	10000	0
164	4262	射手之心碎片	tempItem	3	0	0	0	0	0	10000	0
165	4263	射手之魂碎片	tempItem	3	0	0	0	0	0	10000	0
166	4264	魔蝎辉耀碎片	tempItem	1	0	0	0	0	0	30000	0
167	4265	魔蝎凝聚碎片	tempItem	1	0	0	0	0	0	30000	0
168	4266	魔蝎光芒碎片	tempItem	1	0	0	0	0	0	30000	0
169	4267	魔蝎不死碎片	tempItem	1	0	0	0	0	0	30000	0
170	4268	魔蝎旋舞碎片	tempItem	1	0	0	0	0	0	30000	0
171	4269	魔蝎之心碎片	tempItem	1	0	0	0	0	0	30000	0
172	4270	魔蝎之魂碎片	tempItem	1	0	0	0	0	0	30000	0
173	4271	宝瓶辉耀碎片	tempItem	1	0	0	0	0	0	40000	0
174	4272	宝瓶凝聚碎片	tempItem	1	0	0	0	0	0	40000	0
175	4273	宝瓶光芒碎片	tempItem	1	0	0	0	0	0	40000	0
176	4274	宝瓶不死碎片	tempItem	1	0	0	0	0	0	40000	0
177	4275	宝瓶旋舞碎片	tempItem	1	0	0	0	0	0	40000	0
178	4276	宝瓶之心碎片	tempItem	1	0	0	0	0	0	40000	0
179	4277	宝瓶之魂碎片	tempItem	1	0	0	0	0	0	40000	0
180	4278	双鱼辉耀碎片	tempItem	1	0	0	0	0	0	50000	0
181	4279	双鱼凝聚碎片	tempItem	1	0	0	0	0	0	50000	0
182	4280	双鱼光芒碎片	tempItem	1	0	0	0	0	0	50000	0
183	4281	双鱼不死碎片	tempItem	1	0	0	0	0	0	50000	0
184	4282	双鱼旋舞碎片	tempItem	1	0	0	0	0	0	50000	0
185	4283	双鱼之心碎片	tempItem	1	0	0	0	0	0	50000	0
186	4284	双鱼之魂碎片	tempItem	1	0	0	0	0	0	50000	0
