#怪物信息表																	
#ID	名称	模型ID	备注1	备注2	星级	品质	等级	装备(怪物的装备，以#号分隔)	装备强化等级(每件装备对应的强化等级，以#分隔)	能力值（根据原本的英雄数值乘以一定的倍数值）	是否为怪物(0.保留 1.怪物)	ai思考时间（成功）	ai思考时间（失败）	ai思考时间衰减百分比	保持最大距离(网络点，像素距离为此值*32)	思考失败时行走方向（1、远离目标180°方向；2、360°随机方向）	连续思考的次数
int	string	int	string	string	int	int	int	string	string	float	int	float	float	float	float	int	int
47	吃货一郎	8	章节4	小结6	2	3	27	10013#10014#10009#10016#10011#10012	12#12#19#12#15#15	1	1	1000	3000	500	10	1	2
48	佐小弟	7	章节4	小结6	2	3	27	10007#10008#10015#10010#10017#10012	18#20#16#20#11#20	1	1	1000	3000	500	10	1	2
49	绿崽	4	章节4	小结7	2	3	28	10007#10008#10009#10010#10017#10012	19#18#18#18#11#18	1	1	1000	3000	500	10	1	2
50	吃货一郎	8	章节4	小结7	2	4	29	10013#10008#10015#10016#10011#10018	13#19#13#15#20#11	1	1	1000	3000	500	10	1	2
51	糯米团子	10	章节5	小结1	2	4	30	10007#10014#10009#10016#10011#10012	18#19#19#15#20#18	1	1	1000	3000	500	10	1	2
52	技术草	6	章节5	小结2	2	4	30	10013#10014#10015#10010#10017#10012	18#17#17#19#17#20	1	1	1000	3000	500	10	1	2
53	绿崽	4	章节5	小结3	2	4	31	10007#10008#10009#10016#10011#10018	18#20#19#15#18#16	1	1	1000	3000	500	10	1	2
54	技术草	6	章节5	小结4	2	4	31	10013#10008#10015#10010#10017#10012	16#18#17#20#19#19	1	1	1000	3000	500	10	1	2
55	佐小弟	7	章节5	小结4	2	4	32	10013#10008#10015#10016#10011#10012	15#18#18#16#18#20	1	1	1000	3000	500	10	1	2
56	糯米团子	10	章节5	小结5	2	4	32	10007#10014#10009#10016#10011#10018	20#19#19#15#18#16	1	1	1000	3000	500	10	1	2
57	艾利查卡多	5	章节5	小结5	2	4	33	10013#10014#10015#10010#10017#10018	16#18#18#19#15#18	1	1	1000	3000	500	10	1	2
58	佐小弟	7	章节5	小结6	2	4	33	10013#10014#10015#10016#10017#10018	22#22#21#19#21#20	1	1	1000	3000	500	10	1	2
59	吃货一郎	8	章节5	小结6	2	4	34	10013#10014#10015#10016#10017#10018	20#20#22#23#20#20	1	1	1000	3000	500	10	1	2
60	山石姬	3	章节5	小结7	2	4	34	10013#10014#10015#10016#10017#10018	23#22#19#19#21#22	1	1	1000	3000	500	10	1	2
61	糯米团子	10	章节5	小结7	2	4	35	10013#10014#10015#10016#10017#10018	20#23#20#20#20#21	1	1	1000	3000	500	10	1	2
62	僵sir	9	章节6	小结1	2	5	36	10019#10020#10015#10022#10017#10018	13#13#18#16#18#19	1	1	1000	3000	500	10	1	2
63	佐小弟	7	章节6	小结1	2	5	36	10013#10014#10021#10016#10023#10024	22#21#11#21#17#16	1	1	1000	3000	500	10	1	2
64	僵sir	9	章节6	小结2	2	5	37	10019#10020#10015#10022#10023#10018	13#14#22#15#17#18	1	1	1000	3000	500	10	1	2
65	绿崽	4	章节6	小结2	2	5	37	10013#10020#10015#10016#10017#10024	22#15#21#22#24#15	1	1	1000	3000	500	10	1	2
66	艾利查卡多	5	章节6	小结3	2	5	38	10013#10014#10015#10016#10017#10024	25#23#23#25#22#16	1	1	1000	3000	500	10	1	2
67	僵sir	9	章节6	小结3	2	5	38	10013#10014#10021#10016#10023#10018	23#24#17#23#21#21	1	1	1000	3000	500	10	1	2
68	绿崽	4	章节6	小结4	2	5	39	10019#10020#10021#10022#10017#10024	20#21#21#19#24#20	1	1	1000	3000	500	10	1	2
69	吃货一郎	8	章节6	小结4	2	5	39	10013#10014#10015#10016#10017#10018	22#23#22#21#21#24	1	1	1000	3000	500	10	1	2
70	艾利查卡多	5	章节6	小结5	2	5	40	10019#10014#10021#10016#10023#10018	20#24#22#21#24#21	1	1	1000	3000	500	10	1	2
71	绿崽	4	章节6	小结5	2	5	40	10013#10014#10021#10022#10017#10024	23#25#26#23#22#25	1	1	1000	3000	500	10	1	2
72	僵sir	9	章节6	小结6	2	5	41	10013#10020#10015#10022#10017#10018	23#19#24#26#25#24	1	1	1000	3000	500	10	1	2
73	山石姬	3	章节6	小结6	2	5	41	10013#10014#10015#10016#10023#10024	25#24#25#24#25#25	1	1	1000	3000	500	10	1	2
74	佐小弟	7	章节6	小结7	2	6	42	10019#10020#10015#10022#10017#10018	28#25#25#27#25#25	1	1	1000	3000	500	10	1	2
75	糯米团子	10	章节6	小结7	2	6	43	10019#10014#10015#10022#10017#10024	29#23#25#28#24#30	1	1	1000	3000	500	10	1	2
76	佐小弟	7	章节7	小结1	3	6	43	10013#10020#10021#10016#10023#10018	25#26#28#23#25#25	1	1	1000	3000	500	10	1	2
77	绿崽	4	章节7	小结2	3	6	43	10019#10014#10021#10022#10017#10018	29#24#24#28#23#24	1	1	1000	3000	500	10	1	2
78	艾利查卡多	5	章节7	小结3	3	6	44	10013#10020#10015#10022#10017#10018	25#30#23#32#24#24	1	1	1000	3000	500	10	1	2
79	糯米团子	10	章节7	小结4	3	6	44	10013#10020#10021#10016#10023#10024	25#33#28#25#28#30	1	1	1000	3000	500	10	1	2
80	艾利查卡多	5	章节7	小结4	3	6	45	10019#10014#10021#10016#10023#10024	30#24#33#23#31#32	1	1	1000	3000	500	10	1	2
81	山石姬	3	章节7	小结5	3	6	45	10013#10020#10015#10022#10023#10018	25#33#23#31#33#25	1	1	1000	3000	500	10	1	2
82	佐小弟	7	章节7	小结5	3	6	46	10019#10020#10021#10022#10023#10024	31#33#32#35#31#37	1	1	1000	3000	500	10	1	2
83	僵sir	9	章节7	小结6	3	6	46	10019#10020#10021#10022#10023#10024	32#32#33#38#33#34	1	1	1000	3000	500	10	1	2
84	佐小弟	7	章节7	小结6	3	6	47	10019#10020#10021#10022#10023#10024	33#31#32#33#31#34	1	1	1000	3000	500	10	1	2
85	技术草	6	章节7	小结7	3	6	47	10019#10020#10021#10022#10023#10024	34#35#32#33#34#37	1	1	1000	3000	500	10	1	2
86	绿崽	4	章节7	小结7	3	7	48	10019#10020#10021#10022#10023#10024	41#38#35#41#39#40	1	1	1000	3000	500	10	1	2
87	技术草	6	章节8	小结1	3	7	48	10019#10020#10021#10022#10029#10030	41#38#37#38#38#37	1	1	1000	3000	500	10	1	2
88	佐小弟	7	章节8	小结1	3	7	49	10025#10026#10027#10022#10023#10024	34#39#37#35#37#39	1	1	1000	3000	500	10	1	2
89	山石姬	3	章节8	小结2	3	7	49	10019#10020#10021#10028#10023#10024	36#37#38#36#38#36	1	1	1000	3000	500	10	1	2
90	佐小弟	7	章节8	小结2	3	7	50	10025#10020#10027#10022#10029#10024	33#44#34#39#40#45	1	1	1000	3000	500	10	1	2
91	技术草	6	章节8	小结3	3	7	50	10025#10020#10021#10028#10023#10030	36#42#44#33#45#37	1	1	1000	3000	500	10	1	2
92	艾利查卡多	5	章节8	小结3	3	7	51	10019#10026#10027#10022#10029#10030	45#34#39#40#39#40	1	1	1000	3000	500	10	1	2
93	技术草	6	章节8	小结4	3	7	51	10025#10026#10021#10028#10023#10024	33#39#44#36#40#39	1	1	1000	3000	500	10	1	2
94	僵sir	9	章节8	小结4	3	7	52	10025#10020#10027#10022#10029#10024	37#48#33#46#33#44	1	1	1000	3000	500	10	1	2
95	佐小弟	7	章节8	小结5	3	7	52	10019#10026#10027#10028#10023#10024	45#34#33#37#46#44	1	1	1000	3000	500	10	1	2
96	艾利查卡多	5	章节8	小结5	3	7	53	10019#10020#10021#10022#10029#10030	46#48#46#44#47#46	1	1	1000	3000	500	10	1	2
97	吃货一郎	8	章节8	小结6	3	7	53	10025#10020#10027#10028#10029#10024	47#47#46#45#44#48	1	1	1000	3000	500	10	1	2
98	僵sir	9	章节8	小结6	3	8	54	10019#10026#10027#10022#10023#10024	47#38#40#49#49#48	1	1	1000	3000	500	10	1	2
99	技术草	6	章节8	小结7	3	8	54	10019#10020#10021#10022#10029#10030	48#49#48#45#38#47	1	1	1000	3000	500	10	1	2
100	吃货一郎	8	章节8	小结7	3	8	55	10025#10020#10027#10022#10023#10030	41#49#45#48#50#40	1	1	1000	3000	500	10	1	2
101	技术草	6	章节9	小结1	3	8	55	10025#10026#10027#10022#10029#10024	46#39#38#50#41#50	1	1	1000	3000	500	10	1	2
102	僵sir	9	章节9	小结2	3	8	56	10019#10026#10021#10028#10023#10024	50#38#50#46#50#49	1	1	1000	3000	500	10	1	2
103	艾利查卡多	5	章节9	小结3	3	8	56	10019#10020#10021#10028#10023#10030	49#47#47#44#47#45	1	1	1000	3000	500	10	1	2
104	山石姬	3	章节9	小结4	3	8	57	10025#10026#10021#10028#10029#10030	47#44#48#46#45#39	1	1	1000	3000	500	10	1	2
105	吃货一郎	8	章节9	小结4	3	8	57	10019#10026#10027#10028#10029#10024	50#42#41#45#46#49	1	1	1000	3000	500	10	1	2
106	佐小弟	7	章节9	小结5	3	8	58	10025#10026#10027#10028#10029#10024	41#45#39#46#42#47	1	1	1000	3000	500	10	1	2
107	糯米团子	10	章节9	小结5	3	8	58	10025#10026#10027#10028#10029#10030	39#39#43#46#47#45	1	1	1000	3000	500	10	1	2
108	吃货一郎	8	章节9	小结6	3	8	59	10025#10026#10027#10028#10029#10030	44#39#38#38#39#39	1	1	1000	3000	500	10	1	2
109	技术草	6	章节9	小结6	3	8	59	10025#10026#10027#10028#10029#10030	42#44#39#44#38#44	1	1	1000	3000	500	10	1	2
110	绿崽	4	章节9	小结7	3	9	60	10025#10026#10027#10028#10029#10030	43#38#43#39#46#45	1	1	1000	3000	500	10	1	2
111	僵sir	9	章节9	小结7	3	9	60	10025#10026#10027#10028#10029#10030	44#47#49#48#44#44	1	1	1000	3000	500	10	1	2
112	艾利查卡多	5	章节10	小结1	4	9	61	10031#10026#10033#10034#10029#10030	49#47#44#47#44#48	1	1	1000	3000	500	10	1	2
113	糯米团子	10	章节10	小结1	4	9	61	10025#10026#10033#10028#10029#10030	45#44#45#46#44#46	1	1	1000	3000	500	10	1	2
114	绿崽	4	章节10	小结2	4	9	62	10025#10026#10027#10028#10035#10030	46#45#45#48#49#48	1	1	1000	3000	500	10	1	2
115	佐小弟	7	章节10	小结2	4	9	62	10025#10032#10033#10028#10029#10036	47#45#46#49#46#49	1	1	1000	3000	500	10	1	2
116	吃货一郎	8	章节10	小结3	4	9	63	10031#10032#10027#10028#10029#10030	47#46#46#48#44#47	1	1	1000	3000	500	10	1	2
117	糯米团子	10	章节10	小结3	4	9	63	10031#10032#10027#10034#10029#10036	48#48#48#49#49#49	1	1	1000	3000	500	10	1	2
118	艾利查卡多	5	章节10	小结4	4	9	64	10031#10026#10033#10028#10035#10036	46#48#46#46#49#47	1	1	1000	3000	500	10	1	2
119	僵sir	9	章节10	小结4	4	9	64	10031#10032#10033#10034#10035#10030	44#45#48#48#48#44	1	1	1000	3000	500	10	1	2
120	山石姬	3	章节10	小结5	4	9	65	10031#10032#10027#10034#10035#10036	47#48#48#50#46#46	1	1	1000	3000	500	10	1	2
121	僵sir	9	章节10	小结5	4	9	65	10031#10032#10033#10034#10035#10036	49#49#49#47#50#47	1	1	1000	3000	500	10	1	2
122	技术草	6	章节10	小结6	4	10	66	10031#10032#10033#10034#10035#10036	47#50#46#50#48#48	1	1	1000	3000	500	10	1	2
123	佐小弟	7	章节10	小结6	4	10	66	10031#10032#10033#10034#10035#10036	48#47#46#48#46#49	1.2	1	1000	3000	500	10	1	2
124	山石姬	3	章节10	小结7	4	10	67	10031#10032#10033#10034#10035#10036	46#47#46#48#47#49	1.4	1	1000	3000	500	10	1	2
125	糯米团子	10	章节10	小结7	4	10	67	10031#10032#10033#10034#10035#10036	50#47#46#50#48#46	1.5	1	1000	3000	500	10	1	2
126	绿崽	4	章节11	小结1	4	10	68	10031#10038#10033#10040#10035#10036	50#47#46#49#50#50	1.5	1	1000	3000	500	10	1	2
127	技术草	6	章节11	小结2	4	10	68	10037#10032#10039#10034#10041#10042	48#50#47#46#50#50	1.5	1	1000	3000	500	10	1	2
128	糯米团子	10	章节11	小结3	4	10	69	10031#10032#10033#10034#10035#10042	46#47#49#47#46#48	1.6	1	1000	3000	500	10	1	2
129	僵sir	9	章节11	小结4	4	10	69	10031#10038#10033#10040#10035#10036	46#50#49#48#46#49	1.7	1	1000	3000	500	10	1	2
130	吃货一郎	8	章节11	小结4	4	10	70	10037#10038#10033#10040#10041#10042	49#49#49#49#48#50	1.8	1	1000	3000	500	10	1	2
131	糯米团子	10	章节11	小结5	4	10	70	10031#10032#10039#10034#10035#10036	50#48#48#48#48#46	1.9	1	1000	3000	500	10	1	2
132	山石姬	3	章节11	小结5	4	10	71	10037#10032#10033#10040#10035#10036	50#47#49#49#50#49	2	1	1000	3000	500	10	1	2
133	艾利查卡多	5	章节11	小结6	4	10	71	10031#10038#10033#10040#10035#10042	49#49#49#49#48#50	2.2	1	1000	3000	500	10	1	2
134	佐小弟	7	章节11	小结6	4	11	72	10037#10032#10039#10034#10041#10042	48#49#49#47#50#50	2.2	1	1000	3000	500	10	1	2
135	吃货一郎	8	章节11	小结7	4	11	72	10037#10038#10039#10040#10041#10042	49#48#49#50#50#49	2.3	1	1000	3000	500	10	1	2
136	山石姬	3	章节11	小结7	4	11	73	10037#10038#10039#10040#10041#10042	48#49#48#49#50#48	2.3	1	1000	3000	500	10	1	2
137	绿崽	4	章节12	小结1	5	11	73	10037#10038#10039#10040#10047#10042	49#50#50#50#51#49	2.5	1	1000	3000	500	10	1	2
138	山石姬	3	章节12	小结1	5	11	74	10043#10038#10045#10046#10041#10048	52#49#51#51#49#48	2.6	1	1000	3000	500	10	1	2
139	吃货一郎	8	章节12	小结2	5	11	74	10037#10044#10039#10040#10047#10048	48#52#48#48#48#49	2.7	1	1000	3000	500	10	1	2
140	糯米团子	10	章节12	小结2	5	11	75	10043#10038#10045#10040#10041#10042	51#50#52#50#49#50	2.8	1	1000	3000	500	10	1	2
141	僵sir	9	章节12	小结3	5	11	75	10043#10038#10045#10046#10047#10042	50#49#50#48#49#48	2.9	1	1000	3000	500	10	1	2
142	技术草	6	章节12	小结3	5	11	76	10037#10044#10039#10040#10047#10048	49#52#50#48#50#52	3	1	1000	3000	500	10	1	2
143	佐小弟	7	章节12	小结4	5	11	76	10037#10044#10039#10046#10041#10042	48#50#50#53#48#50	3.2	1	1000	3000	500	10	1	2
144	山石姬	3	章节12	小结4	5	11	77	10043#10038#10045#10040#10041#10042	51#48#52#49#50#49	3.2	1	1000	3000	500	10	1	2
145	艾利查卡多	5	章节12	小结5	5	11	77	10043#10038#10039#10046#10041#10048	53#49#50#51#48#50	3.3	1	1000	3000	500	10	1	2
146	糯米团子	10	章节12	小结5	5	12	78	10037#10044#10045#10040#10047#10042	49#51#50#50#52#48	3.4	1	1000	3000	500	10	1	2
147	山石姬	3	章节12	小结6	5	12	78	10043#10044#10045#10046#10047#10048	55#53#54#55#53#55	3.5	1	1000	3000	500	10	1	2
148	佐小弟	7	章节12	小结6	5	12	79	10043#10044#10045#10046#10047#10048	53#54#54#55#53#53	4	1	1000	3000	500	10	1	2
149	吃货一郎	8	章节12	小结7	5	12	79	10043#10044#10045#10046#10047#10048	55#55#55#55#55#55	5	1	1000	3000	500	10	1	2
150	绿崽	4	章节12	小结7	5	12	80	10043#10044#10045#10046#10047#10048	55#55#55#55#55#55	5	1	1000	3000	500	10	1	2
