#星座																										
#绝对ID=孔位 + 星座*100 + 角色编号*10000	人物ID	人物名称	星座编号	星座名称	孔位(为空则表示该星座全部增加的属性，方便计算)	力量增长	体质增长	敏捷增长	智力增长	专注增长	生命增长	生命回复增长	魔法增长	物攻增长	物防增长	魔攻增长	魔防增长	命中增长	闪避增长	暴击增长	暴击抵抗增长	暴击伤害增长	物理穿透增长	魔法穿透增长	魔法恢复量	增长属性中文叙述
int	int	string	int	int	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string
30602	3	黑岩	6		2	58	29																			力量+58 体质+29
30603	3	黑岩	6		3				20		612	61.2														智力+20 生命+612 生命回复+61.2
30604	3	黑岩	6		4	61		31		25																力量+61 敏捷+31 专注+25
30605	3	黑岩	6		5				21										61.2		103.36					智力+21 闪避+61.2 暴抗+103.36
30606	3	黑岩	6		6	65	39											97.2		82.08						力量+65 体质+39 命中+97.2 暴击+82.08
30600	3	黑岩	6			184	68	61	41	48	612	61.2						97.2	61.2	82.08	103.36		9			
30701	3	黑岩	7		1		47			28																体质+47 专注+28
30702	3	黑岩	7		2			36								41.4	20.7									敏捷+36 魔攻+41.4 魔防+20.7
30703	3	黑岩	7		3	70		37																		力量+70 敏捷+37
30704	3	黑岩	7		4		48											104.4		88.16						体质+48 命中+104.4 暴击+88.16
30705	3	黑岩	7		5	71		41																		力量+71 敏捷+41
30706	3	黑岩	7		6	74			24	30																力量+74 智力+24 专注+30
30700	3	黑岩	7			215	95	114	24	58						41.4	20.7	104.4		88.16						
30801	3	黑岩	8		1	72		43		30																力量+72 敏捷+43 专注+30
30802	3	黑岩	8		2		39		21	31																体质+39 智力+21 专注+31
30803	3	黑岩	8		3		41							135	67.5											体质+41 物攻+135 物防+67.5
30804	3	黑岩	8		4			44		31						45	22.5									敏捷+44 专注+31 魔攻+45 魔防+22.5
30805	3	黑岩	8		5	78	45			33																力量+78 体质+45 专注+33
30806	3	黑岩	8		6	82		45	22														12			力量+82 敏捷+45 智力+22 物穿+12
30800	3	黑岩	8			232	125	132	43	125				135	67.5	45	22.5						12			
30901	3	黑岩	9		1		52			30								72		60.8						体质+52 命中+72 暴击+60.8
30902	3	黑岩	9		2	87		46																		力量+87 敏捷+46
30903	3	黑岩	9		3		54	47								90	45									体质+54 敏捷+47 魔攻+90 魔防+45
30904	3	黑岩	9		4	89			23	47																力量+89 智力+23 专注+47
30905	3	黑岩	9		5	93		48											36		60.8					力量+93 闪避+36 暴抗+60.8
30906	3	黑岩	9		6	100	58	51		53																力量+100 体质+58 敏捷+51 专注+53
30900	3	黑岩	9			369	164	192	23	130						90	45	72	36	60.8	60.8		0			
31001	3	黑岩	10		1			51	24	58																敏捷+51 智力+24 专注+58
31002	3	黑岩	10		2	101		53		58																力量+101 敏捷+53 专注+58
31003	3	黑岩	10		3		56		26					185.4	92.7											体质+56 智力+26 物攻+185.4 物防+92.7
31004	3	黑岩	10		4	109		61								52.2	26.1									力量+109 敏捷+61 魔攻+52.2 魔防+26.1
31005	3	黑岩	10		5	116	59			59													15			力量+116 体质+59 专注+59 物穿+15
31006	3	黑岩	10		6		61	66	31																	体质+61 敏捷+66 智力+31
31000	3	黑岩	10			326	176	231	81	175				185.4	92.7	52.2	26.1						15			
31101	3	黑岩	11		1	162		76																		力量+162 敏捷+76
31102	3	黑岩	11		2		62		35	48																体质+62 智力+35 专注+48
31103	3	黑岩	11		3	163					1170	117														力量+163 生命+1170 生命回复+117
31104	3	黑岩	11		4			79	36	49																敏捷+79 智力+36 专注+49
31105	3	黑岩	11		5					50	1224	122.4														专注+50 生命+1224 生命回复+122.4
31106	3	黑岩	11		6	172		81	38	53																力量+172 敏捷+81 智力+38 专注+53
31100	3	黑岩	11			497	62	236	109	200	2394	239.4											0			
31201	3	黑岩	12		1		71		43	59																体质+71 智力+43 专注+59
31202	3	黑岩	12		2	203		82															18			力量+203 敏捷+82 物穿+18
31203	3	黑岩	12		3		74			60						82.8	41.4									体质+74 专注+60 魔攻+82.8 魔防+41.4
31204	3	黑岩	12		4			84			1368	136.8														敏捷+84 生命+1368 生命回复+136.8
31205	3	黑岩	12		5	204		85	48	64																力量+204 敏捷+85 智力+48 专注+64
31206	3	黑岩	12		6	205	83	88		66																力量+205 体质+83 敏捷+88 专注+66
31200	3	黑岩	12			612	228	339	91	249	1368	136.8				82.8	41.4						18			
40101	4	绿巨人	1		1	7	5																			力量+7 体质+5
40102	4	绿巨人	1		2				2	3																智力+2 专注+3
40103	4	绿巨人	1		3				3					14.4	7.2											智力+3 物攻+14.4 物防+7.2
40104	4	绿巨人	1		4		7			4																体质+7 专注+4
40105	4	绿巨人	1		5	11										10.8	5.4									力量+11 魔攻+10.8 魔防+5.4
40106	4	绿巨人	1		6		10	4		6																体质+10 敏捷+4 专注+6
40100	4	绿巨人	1			18	22	4	5	13	0	0	0	14.4	7.2	10.8	5.4	0	0	0	0	0	0			
40201	4	绿巨人	2		1	15				7																力量+15 专注+7
40202	4	绿巨人	2		2			4								10.8	5.4									敏捷+4 魔攻+10.8 魔防+5.4
40203	4	绿巨人	2		3		11			9																体质+11 专注+9
40204	4	绿巨人	2		4	17	15		7																	力量+17 体质+15 智力+7
40205	4	绿巨人	2		5	20		6		13																力量+20 敏捷+6 专注+13
40206	4	绿巨人	2		6				9		342	34.2														智力+9 生命+342 生命回复+34.2
40200	4	绿巨人	2			52	26	10	16	29	342	34.2	0	0	0	10.8	5.4	0	0	0	0	0	0			
40301	4	绿巨人	3		1				10										10.8		18.24					智力+10 闪避+10.8 暴抗+18.24
40302	4	绿巨人	3		2	21	21																			力量+21 体质+21
40303	4	绿巨人	3		3				12	14																智力+12 专注+14
40304	4	绿巨人	3		4		22	7		14																体质+22 敏捷+7 专注+14
40305	4	绿巨人	3		5					16				46.8	23.4											专注+16 物攻+46.8 物防+23.4
40306	4	绿巨人	3		6	31	25		12																	力量+31 体质+25 智力+12
40300	4	绿巨人	3			52	68	7	34	44	0	0	0	46.8	23.4	0	0	0	10.8	0	18.24	0	0			
40401	4	绿巨人	4		1					17						25.2	12.6									专注+17 魔攻+25.2 魔防+12.6
40402	4	绿巨人	4		2	33		8		19																力量+33 敏捷+8 专注+19
40403	4	绿巨人	4		3		27		15																	体质+27 智力+15
40404	4	绿巨人	4		4		30	10	16																	体质+30 敏捷+10 智力+16
40405	4	绿巨人	4		5	34					612	61.2														力量+34 生命+612 生命回复+61.2
40406	4	绿巨人	4		6	37												82.8		69.92						力量+37 命中+82.8 暴击+69.92
40400	4	绿巨人	4			104	57	18	31	36	612	61.2	0	0	0	25.2	12.6	82.8	0	69.92	0	0	0			
40501	4	绿巨人	5		1		35		16	23																体质+35 智力+16 专注+23
40502	4	绿巨人	5		2	41													19.8		33.44					力量+41 闪避+19.8 暴抗+33.44
40503	4	绿巨人	5		3				18	24																智力+18 专注+24
40504	4	绿巨人	5		4	43	37	12																		力量+43 体质+37 敏捷+12
40505	4	绿巨人	5		5		41		21																	体质+41 智力+21
40506	4	绿巨人	5		6					27				82.8	41.4											专注+27 物攻+82.8 物防+41.4
40500	4	绿巨人	5			84	113	12	55	74	0	0	0	82.8	41.4	0	0	0	19.8	0	33.44	0	0			
40601	4	绿巨人	6		1			13			792	79.2														敏捷+13 生命+792 生命回复+79.2
40602	4	绿巨人	6		2	49			22																	力量+49 智力+22
40603	4	绿巨人	6		3				23	27																智力+23 专注+27
40604	4	绿巨人	6		4	52	45			29																力量+52 体质+45 专注+29
40605	4	绿巨人	6		5	56													28.8		48.64					力量+56 闪避+28.8 暴抗+48.64
40606	4	绿巨人	6		6		47		23	32																体质+47 智力+23 专注+32
40600	4	绿巨人	6			157	92	13	68	88	792	79.2	0	0	0	0	0	0	28.8	0	48.64	0	0			
40701	4	绿巨人	7		1		49									43.2	21.6									体质+49 魔攻+43.2 魔防+21.6
40702	4	绿巨人	7		2	57			26	33																力量+57 智力+26 专注+33
40703	4	绿巨人	7		3		53	17																		体质+53 敏捷+17
40704	4	绿巨人	7		4	61				34																力量+61 专注+34
40705	4	绿巨人	7		5		57		30									129.6		109.44						体质+57 智力+30 命中+129.6 暴击+109.44
40706	4	绿巨人	7		6			18						117	58.5											敏捷+18 物攻+117 物防+58.5
40700	4	绿巨人	7			118	159	35	56	67	0	0	0	117	58.5	43.2	21.6	129.6	0	109.44	0	0	0			
40801	4	绿巨人	8		1	76		19										147.6		124.64						力量+76 敏捷+19 命中+147.6 暴击+124.64
40802	4	绿巨人	8		2				35		1170	117														智力+35 生命+1170 生命回复+117
40803	4	绿巨人	8		3		74							156.6	78.3											体质+74 物攻+156.6 物防+78.3
40804	4	绿巨人	8		4		88									66.6	33.3									体质+88 魔攻+66.6 魔防+33.3
40805	4	绿巨人	8		5	98												176.4		148.96						力量+98 命中+176.4 暴击+148.96
40806	4	绿巨人	8		6			24	42	57																敏捷+24 智力+42 专注+57
40800	4	绿巨人	8			174	162	43	77	57	1170	117	0	156.6	78.3	66.6	33.3	324	0	273.6	0	0	0			
40901	4	绿巨人	9		1					58									45		76					专注+58 闪避+45 暴抗+76
40902	4	绿巨人	9		2	99	89		44																	力量+99 体质+89 智力+44
40903	4	绿巨人	9		3						1638	163.8						212.4		179.36						生命+1638 生命回复+163.8 命中+212.4 暴击+179.36
40904	4	绿巨人	9		4			29	46																	敏捷+29 智力+46
40905	4	绿巨人	9		5	104										84.6	42.3									力量+104 魔攻+84.6 魔防+42.3
40906	4	绿巨人	9		6		93			61				199.8	99.9											体质+93 专注+61 物攻+199.8 物防+99.9
40900	4	绿巨人	9			203	182	29	90	119	1638	163.8	0	199.8	99.9	84.6	42.3	212.4	45	179.36	76	0	0			
41001	4	绿巨人	10		1		101		51	65																体质+101 智力+51 专注+65
41002	4	绿巨人	10		2	118				68									55.8		94.24					力量+118 专注+68 闪避+55.8 暴抗+94.24
41003	4	绿巨人	10		3						1908	190.8				95.4	47.7									生命+1908 生命回复+190.8 魔攻+95.4 魔防+47.7
41004	4	绿巨人	10		4									219.6	109.8			266.4		224.96						物攻+219.6 物防+109.8 命中+266.4 暴击+224.96
41005	4	绿巨人	10		5			32								99	49.5									敏捷+32 魔攻+99 魔防+49.5
41006	4	绿巨人	10		6	126					1998	199.8														力量+126 生命+1998 生命回复+199.8
41000	4	绿巨人	10			244	101	32	51	133	3906	390.6	0	219.6	109.8	194.4	97.2	266.4	55.8	224.96	94.24	0	0			
41101	4	绿巨人	11		1		118		56	75																体质+118 智力+56 专注+75
41102	4	绿巨人	11		2									241.2	120.6	109.8	54.9									物攻+241.2 物防+120.6 魔攻+109.8 魔防+54.9
41103	4	绿巨人	11		3			35	67		2178	217.8														敏捷+35 智力+67 生命+2178 生命回复+217.8
41104	4	绿巨人	11		4	140												280.8		237.12						力量+140 命中+280.8 暴击+237.12
41105	4	绿巨人	11		5		130							271.8	135.9											体质+130 物攻+271.8 物防+135.9
41106	4	绿巨人	11		6					83									66.6		112.48					专注+83 闪避+66.6 暴抗+112.48
41100	4	绿巨人	11			140	248	35	123	158	2178	217.8	0	513	256.5	109.8	54.9	280.8	66.6	237.12	112.48	0	0			
41201	4	绿巨人	12		1		141		71	88																体质+141 智力+71 专注+88
41202	4	绿巨人	12		2			41						291.6	145.8											敏捷+41 物攻+291.6 物防+145.8
41203	4	绿巨人	12		3				78									363.6		307.04						智力+78 命中+363.6 暴击+307.04
41204	4	绿巨人	12		4	174													90		152					力量+174 闪避+90 暴抗+152
41205	4	绿巨人	12		5						900	90				145.8	72.9									体质+100 生命+900 生命回复+90 魔攻+145.8 魔防+72.9
41206	4	绿巨人	12		6	187	166											406.8		343.52						力量+187 体质+166 命中+406.8 暴击+343.52
41200	4	绿巨人	12			361	307	41	149	88	900	90	0	291.6	145.8	145.8	72.9	770.4	90	650.56	152	0	0			
50101	5	死神萝莉	1		1			3	3	2																敏捷+3 智力+3 专注+2
50102	5	死神萝莉	1		2	3			5																	力量+3 智力+5
50103	5	死神萝莉	1		3					4									9		15.2					专注+4 闪避+9 暴抗+15.2
50104	5	死神萝莉	1		4		4									12.6	6.3									体质+4 魔攻+12.6 魔防+6.3
50105	5	死神萝莉	1		5	5		7		5																力量+5 敏捷+7 专注+5
50106	5	死神萝莉	1		6		6		9															2		体质+6 智力+9 魔穿+2
50100	5	死神萝莉	1			8	10	10	17	11	0	0	0	0	0	12.6	6.3	0	9	0	15.2	0	0			
50201	5	死神萝莉	2		1			9		6																敏捷+9 专注+6
50202	5	死神萝莉	2		2	6	7									19.8	9.9									力量+6 体质+7 魔攻+19.8 魔防+9.9
50203	5	死神萝莉	2		3		9			9																体质+9 专注+9
50204	5	死神萝莉	2		4			10	15																	敏捷+10 智力+15
50205	5	死神萝莉	2		5	6												43.2		36.48						力量+6 命中+43.2 暴击+36.48
50206	5	死神萝莉	2		6	7		13	20																	力量+7 敏捷+13 智力+20
50200	5	死神萝莉	2			19	16	32	35	15	0	0	0	0	0	19.8	9.9	43.2	0	36.48	0	0	0			
50301	5	死神萝莉	3		1		9		23	12																体质+9 智力+23 专注+12
50302	5	死神萝莉	3		2	8		14																2		力量+8 敏捷+14 魔穿+2
50303	5	死神萝莉	3		3				28										30.6		51.68					智力+28 闪避+30.6 暴抗+51.68
50304	5	死神萝莉	3		4	9	11			13																力量+9 体质+11 专注+13
50305	5	死神萝莉	3		5	11										61.2	30.6									力量+11 魔攻+61.2 魔防+30.6
50306	5	死神萝莉	3		6		14	20		16																体质+14 敏捷+20 专注+16
50300	5	死神萝莉	3			28	34	34	51	41	0	0	0	0	0	61.2	30.6	0	30.6	0	51.68	0	0			
50401	5	死神萝莉	4		1				36		288	28.8														智力+36 生命+288 生命回复+28.8
50402	5	死神萝莉	4		2			21		17																敏捷+21 专注+17
50403	5	死神萝莉	4		3	12			37																	力量+12 智力+37
50404	5	死神萝莉	4		4		17	22		18																体质+17 敏捷+22 专注+18
50405	5	死神萝莉	4		5				40									68.4		57.76						智力+40 命中+68.4 暴击+57.76
50406	5	死神萝莉	4		6	14	20	25																		力量+14 体质+20 敏捷+25
50400	5	死神萝莉	4			26	37	68	113	35	288	28.8	0	0	0	0	0	68.4	0	57.76	0	0	0			
50501	5	死神萝莉	5		1			26								77.4	38.7									敏捷+26 魔攻+77.4 魔防+38.7
50502	5	死神萝莉	5		2	15				20														2		力量+15 专注+20 魔穿+2
50503	5	死神萝莉	5		3		22		47	23																体质+22 智力+47 专注+23
50504	5	死神萝莉	5		4	17		28																		力量+17 敏捷+28
50505	5	死神萝莉	5		5					25				32.4	16.2											专注+25 物攻+32.4 物防+16.2
50506	5	死神萝莉	5		6		23	31	52																	体质+23 敏捷+31 智力+52
50500	5	死神萝莉	5			32	45	85	99	68	0	0	0	32.4	16.2	77.4	38.7	0	0	0	0	0	0			
50601	5	死神萝莉	6		1		23	31		26																体质+23 敏捷+31 专注+26
50602	5	死神萝莉	6		2	18										95.4	47.7									力量+18 魔攻+95.4 魔防+47.7
50603	5	死神萝莉	6		3		24		56	27																体质+24 智力+56 专注+27
50604	5	死神萝莉	6		4	19		34																		力量+19 敏捷+34
50605	5	死神萝莉	6		5	20	25			29																力量+20 体质+25 专注+29
50606	5	死神萝莉	6		6				61										66.6		112.48					智力+61 闪避+66.6 暴抗+112.48
50600	5	死神萝莉	6			57	72	65	117	82	0	0	0	0	0	95.4	47.7	0	66.6	0	112.48	0	0			
50701	5	死神萝莉	7		1		25	38		30																体质+25 敏捷+38 专注+30
50702	5	死神萝莉	7		2				62					37.8	18.9											智力+62 物攻+37.8 物防+18.9
50703	5	死神萝莉	7		3			39	66	31																敏捷+39 智力+66 专注+31
50704	5	死神萝莉	7		4	23	26																	2		力量+23 体质+26 魔穿+2
50705	5	死神萝莉	7		5		32									127.8	63.9									体质+32 魔攻+127.8 魔防+63.9
50706	5	死神萝莉	7		6	24		44		34																力量+24 敏捷+44 专注+34
50700	5	死神萝莉	7			47	83	121	128	95	0	0	0	37.8	18.9	127.8	63.9	0	0	0	0	0	0			
50801	5	死神萝莉	8		1					39	612	61.2														专注+39 生命+612 生命回复+61.2
50802	5	死神萝莉	8		2	26		51	86																	力量+26 敏捷+51 智力+86
50803	5	死神萝莉	8		3		36		94																	体质+36 智力+94
50804	5	死神萝莉	8		4	30													100.8		170.24					力量+30 闪避+100.8 暴抗+170.24
50805	5	死神萝莉	8		5	35	43			45																力量+35 体质+43 专注+45
50806	5	死神萝莉	8		6			65	104	52																敏捷+65 智力+104 专注+52
50800	5	死神萝莉	8			91	79	116	284	136	612	61.2	0	0	0	0	0	0	100.8	0	170.24	0	0			
50901	5	死神萝莉	9		1		44	66		53																体质+44 敏捷+66 专注+53
50902	5	死神萝莉	9		2	35	45		109																	力量+35 体质+45 智力+109
50903	5	死神萝莉	9		3					54						203.4	101.7									专注+54 魔攻+203.4 魔防+101.7
50904	5	死神萝莉	9		4	36	47	69																		力量+36 体质+47 敏捷+69
50905	5	死神萝莉	9		5				119	57														2		智力+119 专注+57 魔穿+2
50906	5	死神萝莉	9		6	38													127.8		215.84					力量+38 闪避+127.8 暴抗+215.84
50900	5	死神萝莉	9			109	136	135	228	164	0	0	0	0	0	203.4	101.7	0	127.8	0	215.84	0	0			
51001	5	死神萝莉	10		1		49		124																	体质+49 智力+124
51002	5	死神萝莉	10		2	41		74		60																力量+41 敏捷+74 专注+60
51003	5	死神萝莉	10		3				132	63	954	95.4														智力+132 专注+63 生命+954 生命回复+95.4
51004	5	死神萝莉	10		4			82	146																	敏捷+82 智力+146
51005	5	死神萝莉	10		5	42		86		68																力量+42 敏捷+86 专注+68
51006	5	死神萝莉	10		6		57							79.2	39.6											体质+57 物攻+79.2 物防+39.6
51000	5	死神萝莉	10			83	106	242	402	191	954	95.4	0	79.2	39.6	0	0	0	0	0	0	0	0			
51101	5	死神萝莉	11		1				149										160.2		270.56					智力+149 闪避+160.2 暴抗+270.56
51102	5	死神萝莉	11		2		59			69														2		体质+59 专注+69 魔穿+2
51103	5	死神萝莉	11		3	45			152																	力量+45 智力+152
51104	5	死神萝莉	11		4			91		72	1116	111.6														敏捷+91 专注+72 生命+1116 生命回复+111.6
51105	5	死神萝莉	11		5	48	67		166																	力量+48 体质+67 智力+166
51106	5	死神萝莉	11		6	52		93										277.2		234.08						力量+52 敏捷+93 命中+277.2 暴击+234.08
51100	5	死神萝莉	11			145	126	184	467	141	1116	111.6	0	0	0	0	0	277.2	160.2	234.08	270.56	0	0			
51201	5	死神萝莉	12		1		69									315	157.5									体质+69 魔攻+315 魔防+157.5
51202	5	死神萝莉	12		2	57													194.4		328.32					力量+57 闪避+194.4 暴抗+328.32
51203	5	死神萝莉	12		3		75		194	83																体质+75 智力+194 专注+83
51204	5	死神萝莉	12		4			113						108	54											敏捷+113 物攻+108 物防+54
51205	5	死神萝莉	12		5	66	86			91																力量+66 体质+86 专注+91
51206	5	死神萝莉	12		6			120	205									378		319.2						敏捷+120 智力+205 命中+378 暴击+319.2
51200	5	死神萝莉	12			123	230	233	399	174	0	0	0	108	54	315	157.5	378	194.4	319.2	328.32	0	0			
60101	6	草薙京	1		1	3		3	3																	力量+3 敏捷+3 智力+3
60102	6	草薙京	1		2					4						9	4.5									专注+4 魔攻+9 魔防+4.5
60103	6	草薙京	1		3	4	6																	1		力量+4 体质+6 魔穿+1
60104	6	草薙京	1		4				7									18		15.2						智力+7 命中+18 暴击+15.2
60105	6	草薙京	1		5	5	7	3																		力量+5 体质+7 敏捷+3
60106	6	草薙京	1		6	6		5		8																力量+6 敏捷+5 专注+8
60100	6	草薙京	1			18	13	11	10	12	0	0	0	0	0	9	4.5	18	0	15.2	0	0	0			
60201	6	草薙京	2		1		8		8	10																体质+8 智力+8 专注+10
60202	6	草薙京	2		2	12										18	9									力量+12 魔攻+18 魔防+9
60203	6	草薙京	2		3		9	6		11																体质+9 敏捷+6 专注+11
60204	6	草薙京	2		4	14				13													2			力量+14 专注+13 物穿+2
60205	6	草薙京	2		5				13										12.6		21.28					智力+13 闪避+12.6 暴抗+21.28
60206	6	草薙京	2		6	17		9			180	18														力量+17 敏捷+9 生命+180 生命回复+18
60200	6	草薙京	2			43	17	15	21	34	180	18	0	0	0	18	9	0	12.6	0	21.28	0	2			
60301	6	草薙京	3		1	19			14	14																力量+19 智力+14 专注+14
60302	6	草薙京	3		2		11	10																		体质+11 敏捷+10
60303	6	草薙京	3		3	21				17	252	25.2														力量+21 专注+17 生命+252 生命回复+25.2
60304	6	草薙京	3		4			11	15															2		敏捷+11 智力+15 魔穿+2
60305	6	草薙京	3		5	24				20									23.4		39.52					力量+24 专注+20 闪避+23.4 暴抗+39.52
60306	6	草薙京	3		6		16									32.4	16.2									体质+16 魔攻+32.4 魔防+16.2
60300	6	草薙京	3			64	27	21	29	51	252	25.2	0	0	0	32.4	16.2	0	23.4	0	39.52	0	0			
60401	6	草薙京	4		1			14	19	21																敏捷+14 智力+19 专注+21
60402	6	草薙京	4		2				21					45	22.5								3			智力+21 物攻+45 物防+22.5 物穿+3
60403	6	草薙京	4		3	28	17	15																		力量+28 体质+17 敏捷+15
60404	6	草薙京	4		4				23									79.2		66.88						智力+23 命中+79.2 暴击+66.88
60405	6	草薙京	4		5		18												28.8		48.64					体质+18 闪避+28.8 暴抗+48.64
60406	6	草薙京	4		6	33				25	342	34.2														力量+33 专注+25 生命+342 生命回复+34.2
60400	6	草薙京	4			61	35	29	63	46	342	34.2	0	45	22.5	0	0	79.2	28.8	66.88	48.64	0	3			
60501	6	草薙京	5		1		21		25															3		体质+21 智力+25 魔穿+3
60502	6	草薙京	5		2				26		414	41.4														智力+26 生命+414 生命回复+41.4
60503	6	草薙京	5		3	34		17		26																力量+34 敏捷+17 专注+26
60504	6	草薙京	5		4	36		19	28																	力量+36 敏捷+19 智力+28
60505	6	草薙京	5		5		24	20		28																体质+24 敏捷+20 专注+28
60506	6	草薙京	5		6	38												111.6		94.24						力量+38 命中+111.6 暴击+94.24
60500	6	草薙京	5			108	45	56	79	54	414	41.4	0	0	0	0	0	111.6	0	94.24	0	0	0			
60601	6	草薙京	6		1	41			29																	力量+41 智力+29
60602	6	草薙京	6		2				31	31	450	45														智力+31 专注+31 生命+450 生命回复+45
60603	6	草薙京	6		3			21	35														4			敏捷+21 智力+35 物穿+4
60604	6	草薙京	6		4		27	22		34																体质+27 敏捷+22 专注+34
60605	6	草薙京	6		5	43													45		76					力量+43 闪避+45 暴抗+76
60606	6	草薙京	6		6	45	30			37																力量+45 体质+30 专注+37
60600	6	草薙京	6			129	57	43	95	102	450	45	0	0	0	0	0	0	45	0	76	0	4			
60701	6	草薙京	7		1			25										136.8		115.52						敏捷+25 命中+136.8 暴击+115.52
60702	6	草薙京	7		2		30		36															4		体质+30 智力+36 魔穿+4
60703	6	草薙京	7		3	48			37	39																力量+48 智力+37 专注+39
60704	6	草薙京	7		4		31	26		42																体质+31 敏捷+26 专注+42
60705	6	草薙京	7		5	50					612	61.2														力量+50 生命+612 生命回复+61.2
60706	6	草薙京	7		6	53		28	38																	力量+53 敏捷+28 智力+38
60700	6	草薙京	7			151	61	79	111	81	612	61.2	0	0	0	0	0	136.8	0	115.52	0	0	0			
60801	6	草薙京	8		1		40	31		51																体质+40 敏捷+31 专注+51
60802	6	草薙京	8		2	58			47	56																力量+58 智力+47 专注+56
60803	6	草薙京	8		3			37	53														5			敏捷+37 智力+53 物穿+5
60804	6	草薙京	8		4	65		41										223.2		188.48						力量+65 敏捷+41 命中+223.2 暴击+188.48
60805	6	草薙京	8		5	73	45							36	18											力量+73 体质+45 物攻+36 物防+18
60806	6	草薙京	8		6		51		59																	体质+51 智力+59
60800	6	草薙京	8			196	136	109	159	107	0	0	0	36	18	0	0	223.2	0	188.48	0	0	5			
60901	6	草薙京	9		1	75			61										75.6		127.68					力量+75 智力+61 闪避+75.6 暴抗+127.68
60902	6	草薙京	9		2			45		61														5		敏捷+45 专注+61 魔穿+5
60903	6	草薙京	9		3		52		63																	体质+52 智力+63
60904	6	草薙京	9		4	86		49		69																力量+86 敏捷+49 专注+69
60905	6	草薙京	9		5					75	972	97.2														专注+75 生命+972 生命回复+97.2
60906	6	草薙京	9		6	92	58		67																	力量+92 体质+58 智力+67
60900	6	草薙京	9			253	110	94	191	205	972	97.2	0	0	0	0	0	0	75.6	0	127.68	0	0			
